2023-05-16 11:21:26.628 WARN  --- [http-nio-8080-exec-3] o.t.s.p.AbstractStandardFragmentInsertionTagProcessor - [THYMELEAF][http-nio-8080-exec-3][system/product/product] Deprecated unwrapped fragment expression "@{~/top_menu.html}" found in template system/product/product, line 38, col 6. Please use the complete syntax of fragment expressions instead ("~{@{~/top_menu.html}}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2023-05-16 11:21:53.308 WARN  --- [restartedMain] org.hibernate.orm.deprecation - HHH90000021: Encountered deprecated setting [javax.persistence.sharedCache.mode], use [jakarta.persistence.sharedCache.mode] instead
2023-05-16 11:21:54.899 WARN  --- [restartedMain] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-05-16 11:21:55.152 WARN  --- [restartedMain] org.thymeleaf.templatemode.TemplateMode - [THYMELEAF][restartedMain] Unknown Template Mode 'HTML5'. Must be one of: 'HTML', 'XML', 'TEXT', 'JAVASCRIPT', 'CSS', 'RAW'. Using default Template Mode 'HTML'.
2023-05-16 11:22:04.783 WARN  --- [http-nio-8080-exec-1] o.t.s.p.AbstractStandardFragmentInsertionTagProcessor - [THYMELEAF][http-nio-8080-exec-1][system/product/product] Deprecated unwrapped fragment expression "@{~/top_menu.html}" found in template system/product/product, line 38, col 6. Please use the complete syntax of fragment expressions instead ("~{@{~/top_menu.html}}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2023-05-16 11:22:14.798 WARN  --- [http-nio-8080-exec-3] o.t.s.p.AbstractStandardFragmentInsertionTagProcessor - [THYMELEAF][http-nio-8080-exec-3][system/product/product] Deprecated unwrapped fragment expression "@{~/top_menu.html}" found in template system/product/product, line 38, col 6. Please use the complete syntax of fragment expressions instead ("~{@{~/top_menu.html}}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2023-05-16 11:22:38.723 WARN  --- [restartedMain] org.hibernate.orm.deprecation - HHH90000021: Encountered deprecated setting [javax.persistence.sharedCache.mode], use [jakarta.persistence.sharedCache.mode] instead
2023-05-16 11:22:40.281 WARN  --- [restartedMain] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-05-16 11:22:40.530 WARN  --- [restartedMain] org.thymeleaf.templatemode.TemplateMode - [THYMELEAF][restartedMain] Unknown Template Mode 'HTML5'. Must be one of: 'HTML', 'XML', 'TEXT', 'JAVASCRIPT', 'CSS', 'RAW'. Using default Template Mode 'HTML'.
2023-05-16 11:22:55.806 WARN  --- [http-nio-8080-exec-1] o.t.s.p.AbstractStandardFragmentInsertionTagProcessor - [THYMELEAF][http-nio-8080-exec-1][system/product/product] Deprecated unwrapped fragment expression "@{~/top_menu.html}" found in template system/product/product, line 38, col 6. Please use the complete syntax of fragment expressions instead ("~{@{~/top_menu.html}}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2023-05-16 11:23:16.169 WARN  --- [restartedMain] org.hibernate.orm.deprecation - HHH90000021: Encountered deprecated setting [javax.persistence.sharedCache.mode], use [jakarta.persistence.sharedCache.mode] instead
2023-05-16 11:23:17.673 WARN  --- [restartedMain] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-05-16 11:23:17.926 WARN  --- [restartedMain] org.thymeleaf.templatemode.TemplateMode - [THYMELEAF][restartedMain] Unknown Template Mode 'HTML5'. Must be one of: 'HTML', 'XML', 'TEXT', 'JAVASCRIPT', 'CSS', 'RAW'. Using default Template Mode 'HTML'.
2023-05-16 11:23:35.079 WARN  --- [http-nio-8080-exec-1] o.t.s.p.AbstractStandardFragmentInsertionTagProcessor - [THYMELEAF][http-nio-8080-exec-1][system/product/product] Deprecated unwrapped fragment expression "@{~/top_menu.html}" found in template system/product/product, line 38, col 6. Please use the complete syntax of fragment expressions instead ("~{@{~/top_menu.html}}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2023-05-16 11:23:44.761 WARN  --- [http-nio-8080-exec-3] o.t.s.p.AbstractStandardFragmentInsertionTagProcessor - [THYMELEAF][http-nio-8080-exec-3][system/product/product] Deprecated unwrapped fragment expression "@{~/top_menu.html}" found in template system/product/product, line 38, col 6. Please use the complete syntax of fragment expressions instead ("~{@{~/top_menu.html}}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2023-05-16 11:46:57.695 WARN  --- [restartedMain] org.hibernate.orm.deprecation - HHH90000021: Encountered deprecated setting [javax.persistence.sharedCache.mode], use [jakarta.persistence.sharedCache.mode] instead
2023-05-16 11:46:59.343 WARN  --- [restartedMain] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-05-16 11:46:59.586 WARN  --- [restartedMain] org.thymeleaf.templatemode.TemplateMode - [THYMELEAF][restartedMain] Unknown Template Mode 'HTML5'. Must be one of: 'HTML', 'XML', 'TEXT', 'JAVASCRIPT', 'CSS', 'RAW'. Using default Template Mode 'HTML'.
2023-05-16 11:49:37.689 WARN  --- [http-nio-8080-exec-1] o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.bind.MissingRequestCookieException: Required cookie 'login_' for method parameter type String is not present]
2023-05-16 12:22:28.314 WARN  --- [restartedMain] org.hibernate.orm.deprecation - HHH90000021: Encountered deprecated setting [javax.persistence.sharedCache.mode], use [jakarta.persistence.sharedCache.mode] instead
2023-05-16 12:22:29.868 WARN  --- [restartedMain] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-05-16 12:22:30.134 WARN  --- [restartedMain] org.thymeleaf.templatemode.TemplateMode - [THYMELEAF][restartedMain] Unknown Template Mode 'HTML5'. Must be one of: 'HTML', 'XML', 'TEXT', 'JAVASCRIPT', 'CSS', 'RAW'. Using default Template Mode 'HTML'.
